Shear_Stress_Steel,Shear_Strain_Steel,Shear_Stress_Aluminum,Shear_Strain_Aluminum,Shear_Stress_Copper,Shear_Strain_Copper
2.499363057,3.63583E-05,2.499363057,0.000108881,2.499363057,6.34090E-05
4.998726115,8.53209E-05,4.998726115,0.000221253,4.998726115,0.000138743
7.498089172,0.000119546,7.498089172,0.000338763,7.498089172,0.00022038
